nama_destinasi,lokasi,kategori_utama,jenis_wisata
Puncak Tetetana Suluan,"Suluan, Tombulu, Minahasa, Sulawesi Utara",Pegunungan,bukit
Air Terjun Kima Atas,"Kima Atas, Mapanget, Manado, Sulawesi Utara",Air terjun,air terjun
Pantai Sarena,"Sea, Malalayang, Tandurusa, Manado, Sulawesi Utara",Lautan,pantai
Pantai Bulo,"Kalasey Satu, Pineleng, Minahasa, Sulawesi Utara",Lautan,pantai
Aer Konde Ratahan,"Wawali Pasan, Ratahan, Minahasa Tenggara, Sulawesi Utara",Mata air,mata air
Taman Hutan Raya Gunung Tumpa H. V. Worang,"Tongkeina, Bunaken, Manado, Sulawesi Utara",Taman,taman hutan
Taman Purbakala Waruga,"Sawangan, Airmadidi, Minahasa Utara, Sulawesi Utara",Taman,taman sejarah
Kawah Gunung Lokon,"Agotey, Mandolang, Minahasa, Sulawesi Utara",Pegunungan,kawah
Pantai Abadi,"Nuangan, Nuangan, Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Pantai Batuangus,"Kasawari, Aertembaga, Bitung, Sulawesi Utara",Lautan,pantai
Bukit Kasih Kanonang,"Kanonang Empat, Kawangkoan Bar., Minahasa, Sulawesi Utara",Pegunungan,bukit
Pantai Batu Pinagut,"Kuala, Kaidipang, Bolaang Mongondow Utara, Sulawesi Utara",Lautan,pantai
Tetetana Kumelembuai,"Kumelembuay, Tomohon Tim., Minahasa, Sulawesi Utara",Pegunungan,bukit
Taman Wisata Puncak Rurukan Tomohon,"Rurukan Satu, Tomohon Tim., Tomohon, Sulawesi Utara",Pegunungan,bukit
Pantai Jiko / Patokan,"Nuangan, Nuangan, Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Air Terjun Tumimperas,"Pinaras, Tomohon Sel., Tomohon, Sulawesi Utara",Air terjun,air terjun
Puncak Temboan Rurukan,"Masarang, Tondano Bar., Minahasa, Sulawesi Utara",Pegunungan,bukit
Kawasan Ekonomi Khusus Likupang,"Pulisan, Likupang Tim., Minahasa Utara, Sulawesi Utara",Lautan,pantai
Rumah Alam Manado Adventure Park,"Maumbi, Kalawat, Minahasa Utara, Sulawesi Utara",Taman,taman alam
WISATA DANAU MOAT,"Moat, Kec. Modayag, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara",Danau,Danau Alami
Kabesaran Beach,"Tulap, Kecamatan Kombi, Kabupaten Minahasa, Sulawesi Utara",Lautan,pantai
Tuur Ma'asering Kumelembuai Tomohon,"Kumelembuay, Kec. Tomohon Tim., Kota Tomohon, Sulawesi Utara 95449",Taman,taman hutan
"Kolam Renang Air Panas ""Zanoleos""","Woloan Satu, Utara, Kota Tomohon, Sulawesi Utara 95423",Taman,taman buatan
Wisata Hutan Pinus Dan Pemandian Air Panas,"Lahendong, Tomohon Selatan, Lahendong, Kec. Tomohon Sel., Kota Tomohon, Sulawesi Utara",Taman,taman hutan
Air Terjun Tunan Talawaan,"Wasian, Kec. Dimembe, Kabupaten Minahasa Utara, Sulawesi Utara",Air terjun,air terjun
"Bukit Larata, Desa Kinunang","Pulisan, Kec. Likupang Tim., Kabupaten Minahasa Utara, Sulawesi Utara",Pegunungan,bukit
Pantai Kahona,"Lobu Tua, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara 22564",Lautan,pantai
Monumen Kaki Dian Minahasa Utara,"Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara",Pegunungan,bukit
Pantai Lolan,"Lolan, Kec. Bolaang Tim., Bolmong, Sulawesi Utara",Lautan,pantai
Air Terjun Kali,"Tinoor Satu, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara",Air terjun,air terjun
Taman Wisata Alam Kota Tomohon,"Talete Satu, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara",Taman,taman alam
Bukit Doa Mahawu,"Kakaskasen Tiga, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara",Pegunungan,bukit
Taman Nasional Bunaken,"Kawasan Youth center, Pelabuhan Marina plazaa, Mega mas kawasan, Manado City, North Sulawesi",Lautan,pantai
Taman Wisata Toar Lumimuut,"Tounelet, Kec. Sonder, Kabupaten Minahasa, Sulawesi Utara",Taman,taman buatan
CitraLand WaterPark Manado,"Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara",Taman,taman buatan
Tanjung Silar,"Port, Kec. Nuangan, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Pantai Wisata DAMI Beach,"Kombot, Pinolosian, South Bolaang Mongondow Regency, North Sulawesi",Lautan,pantai
Taman Wisata NewMahoni Tomohon,"Kakaskasen Tiga, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara",Taman,taman alam
Taman Berkat (GODBLESS PARK) Manado,"Sario Utara, Kec. Sario, Kota Manado, Sulawesi Utara",Taman,taman buatan
"Air Terjun Kadadima, Laine","Laine, Manganitu Sel., Kabupaten Kepulauan Sangihe, Sulawesi Utara",Air terjun,air terjun
WISATA BATU BUAYA,"Iyok, Kec. Nuangan, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Air Terjun Tekaan Telu,"Tinoor Satu, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara",Air terjun,air terjun
Destinasi Wisata Bukit Sasayaban,"Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara",Pegunungan,bukit
Danau Linow,"Lahendong, Kec. Tomohon Sel., Kota Tomohon, Sulawesi Utara",Danau,Danau Alami
Air Terjun Parom,"Danowudu, Kec. Ranowulu, Kota Bitung, Sulawesi Utara",Air terjun,air terjun
Pantai Bungin,"Motabang, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara 95761",Lautan,pantai
Mah'watu,"Lahendong, Kec. Tomohon Sel., Kota Tomohon, Sulawesi Utara",Taman,taman hutan
Wisata Tanjung Cemara Batu Buaya,"Iyok, Kec. Nuangan, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Uluna Tondano,"Masarang, Kec. Tondano Bar., Kabupaten Minahasa, Sulawesi Utara",Mata air,mata air
Pantai Moinit,"Tewasen, Kec. Amurang Bar., Kabupaten Minahasa Selatan, Sulawesi Utara",lautan,pantai
Pantai Tatiala,"Batu Hitam, Kec. Bunaken, Kota Manado, Sulawesi Utara",Lautan,pantai
Puncak Melby'Ls,"Kumelembuay, Kec. Tomohon Tim., Kota Tomohon, Sulawesi Utara",Pegunungan,bukit
Deaga Bay Villa Putih,"Torosik, Kabupaten Bolaang Mongondow Selatan, Sulawesi Utara",Lautan,pantai
Pantai Teletabis,"Boyonpante, Kec. Sinonsayang, Kabupaten Minahasa Selatan, Sulawesi Utara",Lautan,pantai
Danau Lumpias Ratahan,"Wawali, Kec. Ratahan, Kabupaten Minahasa Tenggara, Sulawesi Utara",Danau,Danau Alami
Wisata Pantai Desa Pasir Putih,"Pasir Putih, Sangtombolang, Bolaang Mongondow, Sulawesi Utara",Lautan,pantai
Padies Kimuwu,"Warembungan jaga IV, Pineleng, Minahasa, Sulawesi Utara ",Pegunungan,bukit
Tetetana Tomohon,"Suluan, Tombulu, Minahasa, Sulawesi Utara",Pegunungan,bukit
Gunung Lokon,"Kayawu, Tomohon Utara, Tomohon, Sulawesi Utara",Pegunungan,gunung
Gunung Klabat,"Lembean, Kauditan, Minahasa Utara, Sulawesi Utara",Pegunungan,gunung
Pantai Beau Sauk,"Sauk, Lolak, Bolaang Mongondow, Sulawesi Utara",Lautan,pantai
Air Terjun Kelimbun Tumbohon,"Tumbohon, Talawaan, Minahasa Utara, Sulawesi Utara",Air terjun,air terjun
Patuku Beach,"Tarabitan, Likupang Bar., Minahasa Utara, Sulawesi Utara",Lautan,pantai
Tanjung Merah Belang,"Pantai Timur, Minahasa Tenggara, Sulawesi Utara",Lautan,pantai
Pantai Molas,"Molas, Bunaken, Manado, Sulawesi Utara",Lautan,pantai
Wisata Bintauna Beach,"Minanga, Bintauna, Bolaang Mongondow Utara, Sulawesi Utara",Lautan,pantai
Awu Karangetang,"Mini, Siau Bar. Utara, Siau Tagulandang Biaro, Sulawesi Utara",Pegunungan,gunung
Puncak Passi,"Gogagoman, Kotamobagu Bar., Kotamobagu, Sulawesi Utara",Pegunungan,bukit
Air Terjun Dodandian,"Matabulu, Nuangan, Bolaang Mongondow Timur, Sulawesi Utara",Air terjun,air terjun
Air terjun Timbukar (Sapa),"Timbukar, Sonder, Minahasa, Sulawesi Utara",Air terjun,air terjun
ANYO BEACH,"Rerer, Tondano Utara, Minahasa, Sulawesi Utara",Lautan,pantai
Wisata Air Terjun Botuliodu,"Botuliodu, Posigadan, Bolaang Mongondow Selatan, Sulawesi Utara",Air terjun,air terjun
Wisata Danau Seledan,"Tombatu Dua Bar., Tombatu Utara, Minahasa Tenggara, Sulawesi Utara",Danau,Danau Alami
Pantai Alar Pondang,"Pondang, Amurang Tim., Minahasa Selatan, Sulawesi Utara",Lautan,pantai
Air Terjun Desa Tincep (Tekaan Rangka Kengkang),"Tincep, Sonder, Minahasa, Sulawesi Utara",Air terjun,air terjun
Gua Susuripen,"Paslaten Satu, Tomohon Tim., Tomohon, Sulawesi Utara",Pegunungan,goa
Tuama Leo's Kayak,"Lahendong, Tomohon Sel., Tomohon, Sulawesi Utara",Danau,Danau Alami
Pantai COCONUT BEACH,"Lolak, Lolak, Bolaang Mongondow, Sulawesi Utara",Lautan,pantai
Wisata Mangrove Trans Pato'a,"Duminanga, Bolaang Uki, Bolaang Mongondow Selatan, Sulawesi Utara",Lautan,mangrove
Pulau Pontein Tumbak,"Tumbak, Pusomaen, Minahasa Tenggara, Sulawesi Utara",Lautan,pulau
Pulau Baling-baling,"Tumbak, Pusomaen, Minahasa Tenggara, Sulawesi Utara",Lautan,pulau
Pantai Ranowangko ll,"Pantera, Ranowangko II, Kombi, Minahasa, Sulawesi Utara",Lautan,pantai
Air Terjun Kandera,"Touliang, Kakas, Minahasa, Sulawesi Utara",Air terjun,air terjun
Air Terjun Tonsealama,"Tonsea Lama, Tondano Utara, Minahasa, Sulawesi Utara",Air terjun,air terjun
Air terjun Soguo,"Salongo Tim., Bolaang Uki, Bolaang Mongondow Selatan, Sulawesi Utara",Air terjun,air terjun
Danau Bunong,"Togid, Tutuyan, Bolaang Mongondow Timur, Sulawesi Utara",Danau,Danau Alami
PULAU LIBUTON MOLOSING,"Lolak, Bolaang Mongondow, Sulawesi Utara",Lautan,pulau
GREENLEAF RURUKAN,"Rurukan Satu, Tondano Barat, Tomohon City, North Sulawesi",Pegunungan,bukit
Pantai Pondok Cinta,"Motabang, Lolak, Bolaang Mongondow Regency, North Sulawesi",Lautan,pantai
Air Terjun Tapahan Telu,"Tinoor Satu, Tomohon Utara, Tomohon, Sulawesi Utara",Air terjun,air terjun
Tanjung Woka,"Dodap Pantai, Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Air Terjun Takaan,"Buyungon, Amurang, Minahasa Selatan, Sulawesi Utara",Air terjun,air terjun
Goa Jepang Kawangkoan,"Uner, Kawangkoan Utara, Minahasa, Sulawesi Utara",Pegunungan,goa
Raewaya Hills,"Airmadidi Atas, Airmadidi, Minahasa Utara, Sulawesi Utara",Pegunungan,bukit
Cartens Hills Wawo,"Matani Dua, Tomohon Tengah, Tomohon, Sulawesi Utara",Pegunungan,bukit
Binuanga Tracking Mangrove,"Binuanga, Bolang Itang Tim., Bolaang Mongondow Utara, Sulawesi Utara",Lautan,mangrove
Air terjun binjeita,"Binjeita, Bolang Itang Tim., Bolaang Mongondow Utara, Sulawesi Utara",Air terjun,air terjun
Pulau Laga,"Iyok, Nuangan, Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pulau
Pantai Binjeita,"Binjeita II, Bolang Itang, Bolaang Mongondow Utara, Sulawesi Utara",Lautan,pantai
Kentur Mahawu,"Kakaskasen Satu, Tomohon Utara, Tomohon, Sulawesi Utara",Pegunungan,gunung
Pulau Siladen,"Bunaken, Bunaken Kepulauan, Manado, Sulawesi Utara",Lautan,pulau
